"Date","MSCI_BRICS_price_index","MSCI_BRAZIL_price_index","MSCI_CHINA_price_index","MSCI_RUSSIA_price_index","MSCI_INDIA_price_index"
1994-12-30,100,734.483,70.583,100,145.136
1995-01-02,100.222,738.03,70.583,100,145.555
1995-01-03,97.453,706.271,68.257,100,145.05
1995-01-04,94.989,679.046,68.038,100,143.957
1995-01-05,95.568,691.146,68.121,100,142.144
1995-01-06,93.474,670.689,67.531,100,140.305
1995-01-09,90.041,633.68,66.248,100,138.591
1995-01-10,84.48,577.26,65.228,95.109,135.534
1995-01-11,86.165,605.061,63.949,89.867,134.4
1995-01-12,90.423,657.727,63.647,91.924,133.871
1995-01-13,94.018,702.157,62.31,88.559,134.798
1995-01-16,93.847,695.428,62.82,88.018,136.519
1995-01-17,96.044,721.139,65.222,88.39,136.569
1995-01-18,95.074,708.626,65.588,87.345,137.009
1995-01-19,92.178,677.196,64.37,80.237,137.366
1995-01-20,91.464,671.022,63.574,83.281,135.821
1995-01-23,89.269,655.967,61.563,81.142,132.284
1995-01-24,89.372,664.699,60.796,81.008,129.696
1995-01-25,89.628,665.089,61.444,81.064,130.593
1995-01-26,90.796,677.835,61.873,82.99,130.655
1995-01-27,89.756,662.164,61.33,80.593,132.363
1995-01-30,87.467,627.982,60.959,80.86,134.586
1995-01-31,91.159,670.867,60.828,78.013,136.149
1995-02-01,92.297,687.046,60.826,77.168,135.536
1995-02-02,91.444,674.542,60.757,76.906,136.354
1995-02-03,91.906,678.256,61.253,73.265,137.853
1995-02-06,89.92,659.817,62.769,70.625,136.088
1995-02-07,87.257,633.789,63.317,63.595,135.233
1995-02-08,85.961,620.292,65.309,64.307,133.898
1995-02-09,83.812,595.752,66.464,61.114,133.814
1995-02-10,82.716,583.515,67.006,61.688,133.16
1995-02-13,82.531,583.852,68.641,61.076,132.115
1995-02-14,81.026,565.545,68.858,60.238,132.223
1995-02-15,79.012,544.622,69.151,58.672,131.168
1995-02-16,75.8,511.863,69.442,59.062,128.611
1995-02-17,77.005,531.005,68.453,58.362,127.326
1995-02-20,76.282,525.157,66.806,59.172,126.27
1995-02-21,73.73,500.711,67.936,59.354,123.558
1995-02-22,74.029,510.972,66.851,58.454,121.519
1995-02-23,79.479,563.612,66.563,60.877,126.182
1995-02-24,80.768,570.011,67.967,59.688,129.696
1995-02-27,80.723,570.011,67.349,59.301,129.675
1995-02-28,80.739,570.011,67.802,62.429,128.944
1995-03-01,80.932,568.671,67.278,62.524,130.354
1995-03-02,77.921,527.213,67.27,63.405,131.79
1995-03-03,77.563,523.87,66.358,63.613,131.492
1995-03-06,75.11,495.381,65.674,63.264,131.084
1995-03-07,71.765,457.332,64.976,63.542,130.024
1995-03-08,68.466,418.47,63.532,63.542,129.643
1995-03-09,65.55,382.48,63.5,64.596,129.472
1995-03-10,71.83,453.642,62.879,66.611,131.246
1995-03-13,71.143,455.573,63.556,66.582,127.376
1995-03-14,75.7,508.047,63.314,65.803,128.854
1995-03-15,74.521,494.619,63.977,66.223,128.28
1995-03-16,76.57,523.234,63.61,67.022,126.882
1995-03-17,74.527,497.079,63.795,67.77,127.074
1995-03-20,72.909,476.6,64.16,69.062,126.943
1995-03-21,74.661,497.992,64.728,69.137,126.882
1995-03-22,74.321,494.424,64.721,69.055,126.681
1995-03-23,75.28,511.448,64.694,70.021,124.545
1995-03-24,77.909,545.116,65.418,70.058,123.916
1995-03-27,78.029,545.022,66.745,70.023,124.301
1995-03-28,76.873,528.666,66.898,69.846,125.111
1995-03-29,75.912,518.695,68.164,68.4,124.604
1995-03-30,75.592,514.921,68.495,67.553,124.668
1995-03-31,73.696,493.067,67.912,67.817,124.062
1995-04-03,72.714,477.413,66.515,68.05,125.391
1995-04-04,75.817,510.493,66.278,66.75,127.682
1995-04-05,76.845,518.955,66.334,66.11,129.341
1995-04-06,78.171,531.038,65.868,65.701,131.057
1995-04-07,77.469,523.148,65.667,65.193,130.895
1995-04-10,76.553,512.827,65.804,64.104,130.731
1995-04-11,74.883,493.018,65.166,62.775,130.762
1995-04-12,74.684,492.22,64.11,60.669,130.793
1995-04-13,74.662,492.22,64.693,59.405,130.897
1995-04-14,74.66,492.22,64.936,59.233,130.897
1995-04-17,75.55,506.143,64.681,57.518,130.333
1995-04-18,75.604,511.483,65.039,56.765,128.822
1995-04-19,76.281,525.037,64.324,56.319,127.238
1995-04-20,76.536,532.759,64.124,54.902,125.999
1995-04-21,76.524,532.759,64.363,53.041,126.33
1995-04-24,77.139,546.051,63.789,51.084,124.891
1995-04-25,79.103,576.191,62.612,50.68,123.175
1995-04-26,80.403,594.996,61.428,50.581,122.459
1995-04-27,80.414,600.505,60.991,50.75,120.606
1995-04-28,78.831,588.602,60.642,51.322,117.791
1995-05-01,78.821,588.602,60.257,51.322,117.8
1995-05-02,78.868,600.529,60.952,51.322,113.741
1995-05-03,81.061,623.872,62.358,52.199,114.746
1995-05-04,82.519,634.467,62.941,53.991,116.875
1995-05-05,83.08,632.277,62.962,55.184,119.772
1995-05-08,82.209,620.449,63.453,55.184,120.018
1995-05-09,84.368,645.653,64.457,55.184,120.542
1995-05-10,84.294,645.427,65.845,56.361,119.783
1995-05-11,83.549,635.634,66.862,55.694,119.974
1995-05-12,84.009,644.307,67.355,56.971,118.547
1995-05-15,82.977,634.497,67.517,57.231,117.355
1995-05-16,82.594,627.497,68.2,58.087,117.795
1995-05-17,84.269,643.547,68.307,57.739,119.613
1995-05-18,85.248,648.705,68.983,60.118,121.368
1995-05-19,84.988,640.434,69.601,61.573,122.636
1995-05-22,85.443,647.47,69.555,66.157,120.943
1995-05-23,85.533,647.182,69.902,71.548,119.93
1995-05-24,85.443,648.907,70.15,70.498,119.181
1995-05-25,84.466,638.602,70.174,69.468,118.767
1995-05-26,82.967,617.606,70.225,69.608,119.471
1995-05-29,82.754,614.267,69.674,69.861,119.715
1995-05-30,80.353,584.538,69.821,68.855,119.789
1995-05-31,81.101,587.039,70.329,67.647,122.445
1995-06-01,81.956,591.939,70.49,67.828,124.412
1995-06-02,84.037,619.569,70.341,67.828,123.935
1995-06-05,85.227,635.511,69.993,68.659,123.433
1995-06-06,83.922,616.499,70.401,68.726,124.249
1995-06-07,82.68,600.48,70.197,69.368,124.239
1995-06-08,82.94,605.274,70.232,70.001,123.534
1995-06-09,81.19,585.492,70.427,69.394,122.89
1995-06-12,81.109,586.976,69.958,69.394,122.084
1995-06-13,82.054,600.327,70.076,70.783,121.175
1995-06-14,81.31,589.039,70.115,71.686,121.606
1995-06-15,81.179,589.039,69.889,72.252,120.911
1995-06-16,81.817,593.278,69.873,73.043,122.02
1995-06-19,81.8,589.307,69.648,75.165,122.795
1995-06-20,80.661,572.532,69.271,78.516,122.812
1995-06-21,81.061,575.952,69.372,80.891,122.716
1995-06-22,80.487,570.986,69.563,81.017,121.873
1995-06-23,80.271,570.201,70.037,82.379,120.759
1995-06-26,79.521,563.144,69.741,87.015,118.729
1995-06-27,80.746,578.575,69.683,88.216,118.401
