"Date","MSCI_JAPAN_price_index","MSCI_USA_price_index","MSCI_UK_price_index","MSCI_FRANCE_price_index","MSCI_CANADA_price_index","MSCI_GERMANY_price_index","MSCI_ITALY_price_index"
1969-12-31,100,100,100,100,100,100,100
1970-01-01,100,100,100,100,100,100,100
1970-01-02,100,100,100,100,100,100,100
1970-01-05,100,100,100,100,100,100,100
1970-01-06,100,100,100,100,100,100,100
1970-01-07,102.528,99.903,100.409,100,101.383,100,101.03
1970-01-08,102.528,99.903,100.409,100,101.383,100,101.03
1970-01-09,102.528,99.903,100.409,100,101.383,100,101.03
1970-01-12,102.528,99.903,100.409,100,101.383,100,101.03
1970-01-13,102.528,99.903,100.409,100,101.383,100,101.03
1970-01-14,98.711,103.841,99.603,101.98,100,96.691,99.441
1970-01-15,98.711,103.841,99.603,101.98,100,96.691,99.441
1970-01-16,98.711,103.841,99.603,101.98,100,96.691,99.441
1970-01-19,98.711,103.841,99.603,101.98,100,96.691,99.441
1970-01-20,98.711,103.841,99.603,101.98,100,96.691,99.441
1970-01-21,98.944,101.597,97.834,103.343,104.402,95.659,102.577
1970-01-22,98.944,101.597,97.834,103.343,104.402,95.659,102.577
1970-01-23,98.944,101.597,97.834,103.343,104.402,95.659,102.577
1970-01-26,98.944,101.597,97.834,103.343,104.402,95.659,102.577
1970-01-27,98.944,101.597,97.834,103.343,104.402,95.659,102.577
1970-01-28,98.587,100.201,94.495,105.301,102.909,95.78,102.902
1970-01-29,98.587,100.201,94.495,105.301,102.909,95.78,102.902
1970-01-30,98.135,99.069,92.592,103.671,102.195,94.971,103.906
1970-02-02,98.135,99.069,92.592,103.671,102.195,94.971,103.906
1970-02-03,98.135,99.069,92.592,103.671,102.195,94.971,103.906
1970-02-04,98.591,99.122,93.863,104.679,101.852,93.486,102.955
1970-02-05,98.591,99.122,93.863,104.679,101.852,93.486,102.955
1970-02-06,98.591,99.122,93.863,104.679,101.852,93.486,102.955
1970-02-09,98.591,99.122,93.863,104.679,101.852,93.486,102.955
1970-02-10,98.591,99.122,93.863,104.679,101.852,93.486,102.955
1970-02-11,97.968,98.419,95.24,102.127,103.167,94.763,100.82
1970-02-12,97.968,98.419,95.24,102.127,103.167,94.763,100.82
1970-02-13,97.968,98.419,95.24,102.127,103.167,94.763,100.82
1970-02-16,97.968,98.419,95.24,102.127,103.167,94.763,100.82
1970-02-17,97.968,98.419,95.24,102.127,103.167,94.763,100.82
1970-02-18,97.207,97.16,95.768,100.779,103.788,93.093,101.367
1970-02-19,97.207,97.16,95.768,100.779,103.788,93.093,101.367
1970-02-20,97.207,97.16,95.768,100.779,103.788,93.093,101.367
1970-02-23,97.207,97.16,95.768,100.779,103.788,93.093,101.367
1970-02-24,97.207,97.16,95.768,100.779,103.788,93.093,101.367
1970-02-25,98.607,94.779,97.301,101.601,104.667,93.177,101.089
1970-02-26,98.607,94.779,97.301,101.601,104.667,93.177,101.089
1970-02-27,99.057,93.564,97.527,100.642,106.475,91.998,100.889
1970-03-02,99.057,93.564,97.527,100.642,106.475,91.998,100.889
1970-03-03,99.057,93.564,97.527,100.642,106.475,91.998,100.889
1970-03-04,100.162,94.338,98.15,99.618,105.955,90.42,101.48
1970-03-05,100.162,94.338,98.15,99.618,105.955,90.42,101.48
1970-03-06,100.162,94.338,98.15,99.618,105.955,90.42,101.48
1970-03-09,100.162,94.338,98.15,99.618,105.955,90.42,101.48
1970-03-10,100.162,94.338,98.15,99.618,105.955,90.42,101.48
1970-03-11,101.091,95.448,96.803,99.011,105.41,90.866,101.079
1970-03-12,101.091,95.448,96.803,99.011,105.41,90.866,101.079
1970-03-13,101.091,95.448,96.803,99.011,105.41,90.866,101.079
1970-03-16,101.091,95.448,96.803,99.011,105.41,90.866,101.079
1970-03-17,101.091,95.448,96.803,99.011,105.41,90.866,101.079
1970-03-18,101.024,94.5,95.492,98.524,105.043,92.646,101.601
1970-03-19,101.024,94.5,95.492,98.524,105.043,92.646,101.601
1970-03-20,101.024,94.5,95.492,98.524,105.043,92.646,101.601
1970-03-23,101.024,94.5,95.492,98.524,105.043,92.646,101.601
1970-03-24,101.024,94.5,95.492,98.524,105.043,92.646,101.601
1970-03-25,101.172,94.016,97.955,98.493,106.14,91.276,103.213
1970-03-26,101.172,94.016,97.955,98.493,106.14,91.276,103.213
